student_id,day_of_week,meal_time,meal_type,is_weekend,class_day,assignment_deadline,temperature,humidity,wind_speed,rain,air_quality,rising_time,sleeping_time,mess_duration
15.0,6.0,0.0,0.0,1.0,1.0,0.0,26.406580720338134,81.41658432216613,4.905378998102028,0.0,81.42343799932135,399.0,1423.0,27.095609329882425
58.0,4.0,0.0,1.0,0.0,0.0,1.0,28.42449057846556,60.22221826611983,4.572207086396655,0.0,91.43907871647531,570.0,1381.0,11.287965814404139
190.0,5.0,2.0,0.0,1.0,1.0,0.0,29.926634467517804,63.55551317122432,5.417011109663175,0.0,116.64923714242313,466.0,1337.0,36.99873074947044
84.0,4.0,1.0,1.0,0.0,0.0,1.0,32.842319463139916,59.86502775262066,3.9422890710440996,0.0,92.27054098870889,349.0,1423.0,14.206148790374588
134.0,3.0,1.0,1.0,0.0,1.0,1.0,30.655914948161588,68.8176103894861,3.9909146571348924,1.0,68.33411572926225,352.0,1343.0,13.26660951319327
41.0,3.0,0.0,0.0,0.0,0.0,0.0,27.35822620185868,53.23077999694041,5.611676288840868,1.0,118.61168801542203,560.0,1425.0,23.388837048366707
41.0,6.0,1.0,1.0,1.0,0.0,0.0,25.47554013135755,70.9964697578482,4.8222678787293445,1.0,91.79233382627399,592.0,1418.0,27.129223565279727
101.0,2.0,0.0,0.0,0.0,1.0,0.0,31.91385882967467,63.61395605508414,6.538036566465969,0.0,87.70248481165379,478.0,1382.0,21.664462202444646
52.0,6.0,0.0,0.0,1.0,1.0,1.0,29.340984336487463,63.57112571511746,6.477894044741516,1.0,89.63459563452705,312.0,1351.0,33.114602496706866
170.0,3.0,1.0,0.0,0.0,1.0,0.0,32.47119923092542,58.947428659988205,4.044653555282295,1.0,127.43724267099553,530.0,1381.0,25.877766469774162
121.0,0.0,0.0,0.0,0.0,1.0,0.0,30.88836083119373,62.610552721798896,5.005113456642461,0.0,95.30825733249706,464.0,1416.0,18.286427417366152
118.0,6.0,2.0,1.0,1.0,1.0,1.0,27.593168192335142,50.56943191532738,6.403958738659293,0.0,83.07965967088589,594.0,1321.0,30.88755315609969
101.0,2.0,0.0,0.0,0.0,1.0,0.0,28.674701930321962,59.15834914818823,6.237016072936461,1.0,71.47042230548895,429.0,1372.0,21.69910482093322
184.0,6.0,2.0,0.0,1.0,0.0,0.0,29.97785955016628,58.6270899632073,6.401321564693625,1.0,111.73714187600541,539.0,1335.0,50.952278129049894
124.0,0.0,0.0,0.0,0.0,1.0,1.0,30.298954095262925,54.96524345883801,3.4493365689338673,1.0,101.37125949612054,498.0,1371.0,14.282688851846553
104.0,6.0,1.0,0.0,1.0,0.0,1.0,31.85101132714539,51.62418608236886,5.6771860655821,0.0,92.86509948463612,551.0,1335.0,32.780608992669826
